tweet_id,favorite_count,retweet_count,retweet_status,url
865006731092295680,25566,6812,Original tweet,https://t.co/LbkG5CiM7o
864873206498414592,29367,7667,Original tweet,https://t.co/wr3xsjeCIR
864279568663928832,13326,2639,Original tweet,https://t.co/S2HdmFFPck
864197398364647424,27217,7765,Original tweet,https://t.co/cPq9fYvkzr
863907417377173506,18835,3672,Original tweet,https://t.co/ht47njyZ64
863553081350529029,13943,3720,Original tweet,https://t.co/tordvmaaop
863471782782697472,0,2131,Original tweet,https://…
863432100342583297,21755,4656,Original tweet,https://t.co/fGQUzR8w3H
863427515083354112,2000,82,Original tweet,0
863079547188785154,8031,983,Original tweet,https://t.co/lVU5GyNFen
863062471531167744,7674,2131,Original tweet,https://t.co/MOBkQnyHib https://t.co/EsOB4rLEKt
862831371563274240,17543,4565,Original tweet,https://t.co/ixOFQ1tfqE
862722525377298433,15641,3162,Original tweet,https://t.co/Eme9Uar6v2
862457590147678208,18637,4346,Original tweet,https://t.co/jvSNASweNb
862096992088072192,67681,20493,Original tweet,https://t.co/nvZyyrp0kd
861383897657036800,32994,9515,Original tweet,https://t.co/QFRlbZw4Z1
861288531465048066,15698,3676,Original tweet,https://t.co/SqKJPwbQ2g
861005113778896900,15331,3404,Original tweet,https://t.co/jH6EN9cEn6
860981674716409858,0,1898,Original tweet,https://t…
860924035999428608,0,694,Original tweet,https://t.co/6n8hzNihJ9
860563773140209665,6860,1898,Original tweet,https://t.co/qZdSdzm08p https://t.co/oDIQ1KkdPt
860524505164394496,21708,4721,Original tweet,https://t.co/C2zHcNIu4I
860276583193509888,16942,3143,Original tweet,https://t.co/xJo6S2sfsN
860184849394610176,15299,5225,Original tweet,https://t.co/upRYxG4KbG
860177593139703809,0,27479,Original tweet,https://t.c…
859924526012018688,18017,3672,Original tweet,https://t.co/g8vpXFzw29
859851578198683649,14251,3151,Original tweet,https://t.co/BqSttrTuIl
859607811541651456,17172,1386,Original tweet,https://t.co/BArWupFAn0
859196978902773760,82256,26947,Original tweet,https://t.co/g2nSyGenG9
859074603037188101,31064,12241,Original tweet,https://t.co/gEsymGTXCT
858860390427611136,0,7271,Original tweet,…
858843525470990336,14407,3099,Original tweet,https://t.co/cUeDMlHJbq
858471635011153920,19922,4372,Original tweet,https://t.co/8jOC4zhNxy
858107933456039936,14548,2595,Original tweet,https://t.co/QXA4sCXSDF
857989990357356544,14823,2314,Original tweet,https://t.co/sOl7cFaP5X
857746408056729600,31502,9569,Original tweet,https://t.co/7IFn3rkJai
857393404942143489,5425,1473,Original tweet,https://t.co/Mj4j6QoIJk https://t.co/JdNE5oqYEV
857263160327368704,18609,4076,Original tweet,https://t.co/e3U4NReleC
857214891891077121,207,16,Original tweet,0
857062103051644929,0,151,Original tweet,https://t.co/…
857029823797047296,17414,3581,Original tweet,https://t.co/uMH5CLjXJu
856543823941562368,15162,2610,Original tweet,https://t.co/Bh9DtLhIBO
856526610513747968,11067,1700,Original tweet,https://t.co/p1hBHCmWnA
856288084350160898,492,15,Original tweet,0
856282028240666624,25748,5712,Original tweet,https://t.co/GUefqUmZv8
855862651834028034,310,22,Original tweet,h
855860136149123072,4529,875,Original tweet,0
855857698524602368,11072,1903,Original tweet,https://t.co/sb73bV5Y7S
855851453814013952,42770,16504,Original tweet,https://t.co/cMhq16isel
855818117272018944,24773,4931,Original tweet,https://t.co/5BEjzT2Tth
855459453768019968,27675,7463,Original tweet,https://t.co/Xc7uj1C64x
855245323840757760,0,5405,Original tweet,…
855138241867124737,0,39,Original tweet,…
854732716440526848,21165,5515,Original tweet,https://t.co/nJztIEON5s
854482394044301312,27171,6183,Original tweet,https://t.co/AL4Ahm1Rm5
854365224396361728,17584,4263,Original tweet,https://t.co/mdaQhhfpv6
854120357044912130,29799,6783,Original tweet,https://t.co/oBL7LEJEzR
854010172552949760,15169,2870,Original tweet,https://t.co/TXdT3tmuYk
853760880890318849,26656,5251,Original tweet,https://t.co/yT4vw8y77x
853639147608842240,32265,9105,Original tweet,https://t.co/wiQZIsaWUe
853299958564483072,14469,3246,Original tweet,https://t.co/EX9Z3EXlVP
852936405516943360,0,1827,Original tweet,https://t…
852912242202992640,8433,1650,Original tweet,https://t.co/aVMjBqAy1x https://t.co/7gx2LksT3U
852672615818899456,13969,1983,Original tweet,https://t.co/VlyBzOXHEW
852553447878664193,15230,3192,Original tweet,https://t.co/ArnxkyD2kC
852311364735569921,31029,9099,Original tweet,https://t.co/2d370P0OEg
852226086759018497,18707,6248,Original tweet,https://t.co/NP5JW8LnmW
852189679701164033,10779,1453,Original tweet,https://t.co/jrFzScKWEG
851861385021730816,0,19,Original tweet,https://t.co/bO0rThDlXI
851591660324737024,15287,3208,Original tweet,https://t.co/BMtfCmNbnS
851464819735769094,22788,6479,Original tweet,https://t.co/E4a0R9my1M
851224888060895234,19456,5296,Original tweet,https://t.co/iHYfZdz444
850753642995093505,28798,8316,Original tweet,https://t.co/hLQ2Ilg2uN
850380195714523136,12341,2397,Original tweet,https://t.co/FXZQtBcnTO
850333567704068097,3260,305,Original tweet,S
850145622816686080,15347,3484,Original tweet,https://t.co/PCX25VV78l
850019790995546112,19204,4495,Original tweet,https://t.co/ecb3LvExde
849776966551130114,28558,6998,Original tweet,https://t.co/TCMC90mSOT
849668094696017920,0,4567,Original tweet,https…
